23.01%,201,,Ubyrisk consultant,"Ubyrisk  Consultant est une société spécialisée depuis 2006 dans l'étude, le conseil et l'expertise dans le domaine des risques naturels. l'activité du cabinet est organisé en deux poles indépendants mais complémentaires : prestations web et bureau d'étude / conseil",https://www.catnat.net,7,France,Monde,,,,,Privé,Consulting,,TRI,WARNING : Version payante de GEORISQUE,Elevée,,,,,,,,N,,,,N,,N,,,,,,,,,,Asmynour Youssouf,Asmynour Youssouf,,,NON RETENU PAR SQUARE - Version payante de Georisque,,,O,O,O,,,,,,,,,,,Data,O,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
66.37%,202,,Ubyrisk consultant,"Ubyrisk  Consultant est une société spécialisée depuis 2006 dans l'étude, le conseil et l'expertise dans le domaine des risques naturels. l'activité du cabinet est organisé en deux poles indépendants mais complémentaires : prestations web et bureau d'étude / conseil",https://www.catnat.net,7,France,Monde,,2006,,,Privé,Consulting,,Base de données des arretés CATNAT par communes depuis 1982,"WARNING : Version payante de GEORISQUE
Cette base est établie a partir d'informations provenant du ministère de l'écologie et du ministère de l'interieur, recense l'intégralité des arretés promulguant l'état de CATNAT en France depuis 1982. Elle est mise à jour après un arreté de reconnaissance de l'état de catnat publié par le ministère de l'intérieur ",Elevée,Elevée,Abonnement,0,1,France,Ministère de l'Ecologie et du Ministère de l'Intérieur,Physique,N,O,N,N,N,,N,https://www.catnat.net/donneesstats/telechargements/base-de-donnees-bd-catnat,,,,l'interloculteur est joignable par tél: 06 74 28 17 16.,,,point téléphonique 15/04/2021,,GVE,Soukaina TAZROUTI,Fini,O,NON RETENU PAR SQUARE - Version payante de Georisque,N,Asmynour Youssouf,O,O,O,XLS,,O,N,N,N,,,,,Data,O,N,N,Très régulière: mensuelle,12 et 15 fois par an,,France,Commune/code INSEE,,1982,2021,O,liste des champs + extraction,,Liste des champs et tarification envoyés dans le mail du 16/04/2021 à Cyril et Sarah,N,N,N,N,N,N,,,N,N,N,,,,N,,,,,N,N,N,N,,N,,,N,,N,,,,#REF!,,
62.83%,203,,Ubyrisk consultant,"Ubyrisk  Consultant est une société spécialisée depuis 2006 dans l'étude, le conseil et l'expertise dans le domaine des risques naturels. l'activité du cabinet est organisé en deux poles indépendants mais complémentaires : prestations web et bureau d'étude / conseil",https://www.catnat.net,7,France,Monde,,2006,,,Privé,Consulting,,NATDIS,,Elevée,Elevée,Abonnement,0,1,France,"-Médias : presse écrite (régionale, nationale), agence de presse, presse TV
+ ONG
+ Correspondant locaux
+ Réassureurs
+ Agences gouvernementales / Ministères
+ Sites scientifiques thématiques
+ Réseaux sociaux
",Physique,N,O,N,N,N,,N,https://www.catnat.net/donneesstats/telechargements/base-de-donnees-bd-catnat,,,,l'interloculteur est joignable par tél: 06 74 28 17 16.,,,point téléphonique 15/04/2021,,GVE,Soukaina TAZROUTI,Fini,O,,N,Asmynour Youssouf,N,N,N,XLS,,O,N,N,N,,,,,Data,O,N,N,,mensuelle,,France,Commune/code INSEE,,"Profondeur historique des : 
-Catastrophes naturelles depuis: 1982
-Événement des catastrophes naturelles depuis: 2000
-Grêle/foudre depuis : 2017",2021,O,liste des champs + extraction,,Liste des champs et tarification envoyés dans le mail du 16/04/2021 à Cyril et Sarah,,N,N,N,N,N,,,N,N,N,,,,N,,,,,N,N,N,N,,N,,,N,,N,,,,#REF!,,
63.72%,204,,Ubyrisk consultant,"Ubyrisk  Consultant est une société spécialisée depuis 2006 dans l'étude, le conseil et l'expertise dans le domaine des risques naturels. l'activité du cabinet est organisé en deux poles indépendants mais complémentaires : prestations web et bureau d'étude / conseil",https://www.catnat.net,7,France,Monde,,2006,,,Privé,Consulting,,PPRN,"La base de données recense l’ensemble des Plans de Prévention des Risques Naturels (et assimilés tels que PER, PSS ou encore périmètre R111-3)
par commune.",Elevée,Elevée,Abonnement,0,1,France,le Ministère de l'Ecologie,Physique,N,O,N,N,N,,N,https://www.catnat.net/donneesstats/telechargements/base-de-donnees-bd-catnat,,,,l'interloculteur est joignable par tél: 06 74 28 17 16.,,,point téléphonique 15/04/2022,,GVE,Soukaina TAZROUTI,Fini,O,,N,Asmynour Youssouf,N,N,O,XLS,,O,N,N,N,,,,,Data,O,N,N,,mensuelle,,France,Commune/code INSEE,,"Profondeur historique des : 
-Catastrophes naturelles depuis: 1982
-Événement des catastrophes naturelles depuis: 2000
-Grêle/foudre depuis : 2017",2021,O,liste des champs + extraction,,Liste des champs et tarification envoyés dans le mail du 16/04/2021 à Cyril et Sarah,,N,N,N,N,N,,,N,N,N,,,,N,,,,,N,N,N,N,,N,,,N,,N,,,,#REF!,,
61.95%,205,,Ubyrisk consultant,"Ubyrisk  Consultant est une société spécialisée depuis 2006 dans l'étude, le conseil et l'expertise dans le domaine des risques naturels. l'activité du cabinet est organisé en deux poles indépendants mais complémentaires : prestations web et bureau d'étude / conseil",https://www.catnat.net,7,France,Monde,,2006,,,Privé,Consulting,,DICRIM,La base de données recense l’ensemble des Documents d'information communal sur les risques majeurs (DICRIM) par commune,Elevée,Elevée,Abonnement,0,1,France,Issue de la base Gaspar (ex base Corinte) établie par le Ministère de l'Ecologie,Physique,N,O,N,N,N,,N,https://www.catnat.net/donneesstats/telechargements/base-de-donnees-bd-catnat,,,,l'interloculteur est joignable par tél: 06 74 28 17 16.,,,point téléphonique 15/04/2022,,GVE,Soukaina TAZROUTI,Fini,,,N,,N,N,O,XLS,,O,N,N,N,,,,,Data,O,N,N,,Trimestre,,France,Commune/code INSEE,,"Profondeur historique des : 
-Catastrophes naturelles depuis: 1982
-Événement des catastrophes naturelles depuis: 2000
-Grêle/foudre depuis : 2017",2021,O,liste des champs + extraction,,Liste des champs et tarification envoyés dans le mail du 16/04/2021 à Cyril et Sarah,,N,N,N,N,N,,,N,N,N,,,,N,,,,,N,N,N,N,,N,,,N,,N,,,,#REF!,,
65.49%,206,,Ubyrisk consultant,"Ubyrisk  Consultant est une société spécialisée depuis 2006 dans l'étude, le conseil et l'expertise dans le domaine des risques naturels. l'activité du cabinet est organisé en deux poles indépendants mais complémentaires : prestations web et bureau d'étude / conseil",https://www.catnat.net,7,France,Monde,,2006,,,Privé,Consulting,,PCS,La base de données recense l’ensemble des Plan Communaux de Sauvegarde (PCS) par commune.,Elevée,Elevée,Abonnement,0,1,France,Issue de la base Gaspar (ex base Corinte) établie par le Ministère de l'Ecologie,Physique,N,O,N,N,N,,N,https://www.catnat.net/donneesstats/telechargements/base-de-donnees-bd-catnat,,,,l'interloculteur est joignable par tél: 06 74 28 17 16.,,,point téléphonique 15/04/2023,,GVE,Soukaina TAZROUTI,Fini,O,NON RETENU PAR SQUARE - Version payante de Georisque,N,Asmynour Youssouf,N,O,O,XLS,,O,N,N,N,,,,,Data,O,N,N,,mensuelle,,France,Commune/code INSEE,,"Profondeur historique des : 
-Catastrophes naturelles depuis: 1982
-Événement des catastrophes naturelles depuis: 2000
-Grêle/foudre depuis : 2017",2021,O,liste des champs + extraction,,Liste des champs et tarification envoyés dans le mail du 16/04/2021 à Cyril et Sarah,N,N,N,N,N,N,,,N,N,N,,,,N,,,,,N,N,N,N,,N,,,N,,N,,,,#REF!,,
24.78%,207,,UNEP,UN Environment Programme World Conservation Monitoring Centre,https://www.unep.org/fr,3,,,,1972,"5,9 Mds",1 001-5 000 employés,Public,Organisation,,UNEP World Conservation Monitoring Centre,,Basse,,TBD,0,,,,TBD,N,,,,N,,N,,,"Mail envoyé sur la plateforme:info@unep-wcmc.org
==> en attente de retour",,,,,,,Romain Berrou,Soukaina TAZROUTI,Fini,N,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,UNIP FI n'est pas un provder de données,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
28.32%,208,,UNEP,UN Environment Programme World Conservation Monitoring Centre,https://www.unep.org/fr,3,,,,1972,"5,9 Mds",1 001-5 000 employés,Public,Organisation,,UNEP FI (United Nations Environment Program  Finance Initiative),"United Nations Environment Programme Finance Initiative (UNEP FI) is a partnership between UNEP and the global financial sector to mobilize private sector finance for sustainable development. UNEP FI works with more than 350 members – banks, insurers, and investors – and over 100 supporting institutions – to help create a financial sector that serves people and planet while delivering positive impacts. We aim to inspire, inform and enable financial institutions to improve people’s quality of life without compromising that of future generations. By leveraging the UN’s role, UNEP FI accelerates sustainable finance.",Moyenne,,Abonnement,0,1,,,TBD,N,,,,N,,N,,"https://www.unepfi.org/publications/banking-publications/navigating-a-new-climate-assessing-credit-risk-and-opportunity-in-a-changing-climate/

Modèle & portail données (dispo uniquement pour membres)",David Carlin : https://www.linkedin.com/feed/update/urn:li:activity:6715150240514654208/,,,,,,,David Rodrigues,Soukaina TAZROUTI,Fini,N,,,,N,N,N,,,,,,,,,,,Modèle,,,,,,,,,,,,,,,"Rapport publiés, database dispo courant de l'année.
https://www.unepfi.org/climate-change/tcfd/tcfd-for-banks/

Tools & models disponible ici : https://www.unepfi.org/tools/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
31.86%,209,,UNEP,UN Environment Programme World Conservation Monitoring Centre,https://www.unep.org/fr,3,,,,1972,"5,9 Mds",1 001-5 000 employés,Public,Organisation,,UNEP GRID ((United Nations Environment Program),"GRID-Geneva is part of the Science Division of the UN Environment Programme's global group of environmental information centres, known as the Global Resource Information Database (GRID) network. GRIDs-Geneva and Nairobi were the first centres to be launched in mid-1985.
GRID-Geneva generates various types of resources such as data, data platforms, publications, visuals (maps, graphs, posters), storymaps or multimedia contents. These various resources are all accessible through this website.",Basse,Basse,Open Data,1,0,,,TBD,N,,,,N,,N,,,"standard : Phone: +41(0)22 917 82 37
infogrid@unepgrid.ch
Pascal Peduzzi, Director, GRID-Geneva
Phone : +41(0)22 917 82 37
pascal.peduzzi@unepgrid.ch",,,,,,,QLU,Antoine Ngo,Fini,N,,Open Data,,N,N,N,"Xls, csv; données spatiales ...",,O,,,,,,,,Data,,,,,,,,,,,,,,oui,"Quelques séries interessantes sur les émissions de C02 par pays, etc
Trajectoire carbone selon des scenarii
Séries intéressantes sur l'impact du réchauffement sur les océans
...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
71.68%,210,,UNESCO,,,1,France,,,1945,Non lucratif,1 001-5 000 employés,Public,Organisme,,,,Basse,Basse,Open Data,1,0,Monde,Statistiques officielles,Hors Sujet,N,N,N,N,N,N,N,https://unesdoc.unesco.org/resources/databases,,"For any bibliographic information or information on accessibility of restricted titles
E-mail: library@unesco.org",,,,,"Mail envoyé à: uis.datarequests@unesco.org <uis.datarequests@unesco.org
13/04: Un premier retour par ""Ould Ahmedou Voffal, Saïd <s.voffal@unesco.org>""   ",,Romain Berrou,Ahlam El Fatmi,Fini,N,Hors Sujet,Open Data,Hors Sujet,N,N,N,N,N,N,N,N,N,N,,,,Hors sujet,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"
13/04 Un premier retour par ""Ould Ahmedou Voffal, Saïd <s.voffal@unesco.org>"" et qui a precisé qu'ils ne diffusent pas
 les données sur le risque climatique et nous pouvons télécharger les données sur  https://apiportal.uis.unesco.org/bdds.",N,N,N,N,N,N,,,N,N,N,,,,N,,,,,N,N,N,N,N,N,,,N,N,N,,,,#REF!,,Hors sujet
19.47%,211,,Université de Californie à Berkeley,,https://gadm.org/,1,US,Monde,University,1868,NC,BC,Public,University,"
Université de Californie",GADM,Global Administrative Areas ou GADM est une base de données des contours vectoriels des frontières administratives. Le projet est développé par Robert Hijmans de l'université de Californie à Berkeley.,Elevée,Basse,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
55.75%,212,,Urgentem,"Urgentem a été utilisée par la BCE pour un exercice de stress-test. Rapport à lire ici : https://www.ecb.europa.eu/press/blog/date/2021/html/ecb.blog210318~3bbc68ffc5.en.html
Urgentem est le fournisseur indépendant primé de données transparentes sur les émissions de carbone et d'analyses des risques climatiques pour le secteur financier.
Urgentem travaille avec des clients du secteur financier, fournissant des solutions de reporting et de gestion des risques à l'ensemble de la chaîne de valeur, des régulateurs, des gestionnaires d'investissement et des prêteurs, aux intermédiaires financiers et à une Banque centrale européenne.",https://www.urgentem.net/,1,UK,,,,,,Privé,Market,,Engaged Tracking (ET) Index ,,Elevée,Elevée,Abonnement,0,1,,,Transition,N,N,O,N,N,,N,https://www.urgentem.net/,Echantillon envoyé à la team le 21/04 à 14.44,Ian Stannard <ian.stannard@urgentem.net>,,"mail probable : will.knight@urgentem.net et
 matthew.barker@urgentem.net
Ian Stannard <ian.stannard@urgentem.net>",,,"Mail envoyé à info@urgentem.net et en attente du retour
12/14 retour fait par Ian Stannard et RDV effectué avec Romain le 13/04
Relance de  Ian Stannard pour le dictionnaire des données==> en attente de retour
Dictionnaire de données envoyé pae IAN Stannard le 09/06",,Romain Berrou,Ahlam El Fatmi,En cours,O,En cours d'analyse,,Elisabeth CVAR,N,En cours,O,,,,,,,,,,,Data,O,O,O,annuelle,,,Monde,,,2010,2020,non,,,"Réunion avec Ian Stannard et Romain le 13/04: ils font des analyses et des études comme nous donc le fait d'avoir leur données ne sera 
pas gratuit ==> à décider de la prochaine étape avec Cyrile",N,N,N,N,N,N,,,N,N,N,,,,O,,,,,N,N,N,N,,N,,,N,,N,,,,#REF!,,
32.74%,213,,Vigeo Eiris,"As a rating and research agency, Vigeo Eiris evaluates organisations’ integration of social, environmental and governance factors into their strategies, operations and managemen",,3,France,,,2002,,201-500 employés,Privé,Produit,,Equitics,analyses and opinions on listed companies and bond & money issuers,Elevée,Elevée,Abonnement,0,1,,,Transition / RSE,N,,,,N,,N,,,par mail,,"01 55 82 32 40
contact@vigeo-eiris.com",,,"Par telephone: repondeur
Par mail: en attente du retour
par mail à etienne.thomas@vigeo-eiris.com (en belgique)==> en atente du retour
par mail à hasan.cerhozi@vigeo-eiris.com (france)
par linkedin à Léo Lebreton ESG Data Analyst chez Vigeo Eiris
23/04:Par Linkedin à Richard Porte 'Head of ESG and Climate Sales, Moody’s ESG Solutions'==> en attente de retour",,Romain Berrou,Ahlam El Fatmi,Fini,N,Pas de retour,,,N,N,N,,,,,,,,,,,Data,O,O,O,,,,monde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
32.74%,214,,Vigeo Eiris,"As a rating and research agency, Vigeo Eiris evaluates organisations’ integration of social, environmental and governance factors into their strategies, operations and managemen",,3,France,,,2002,,201-500 employés,Privé,Produit,,Vigeo energy scores,Energy score reflecting the issuer’s ability to reduce its carbon footprint in the medium and long term,Elevée,Elevée,Abonnement,0,1,,,Transition / RSE,N,,,,N,,N,,,par mail,,"01 55 82 32 40
contact@vigeo-eiris.com",,,"Par telephone: repondeur
Par mail: en attente du retour
par mail à etienne.thomas@vigeo-eiris.com (en belgique)==> en atente du retour
par mail à hasan.cerhozi@vigeo-eiris.com (france)
par linkedin à Léo Lebreton ESG Data Analyst chez Vigeo Eiris
23/04:Par Linkedin à Richard Porte 'Head of ESG and Climate Sales, Moody’s ESG Solutions'==> en attente de retour",,Romain Berrou,Ahlam El Fatmi,Fini,N,Pas de retour,,,N,N,N,,,,,,,,,,,Data,O,O,O,,,,monde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
32.74%,215,,Vigeo Eiris,"As a rating and research agency, Vigeo Eiris evaluates organisations’ integration of social, environmental and governance factors into their strategies, operations and managemen",,3,France,,,2002,,201-500 employés,Privé,Produit,,Sovereign Sustainability Rating,"Scores and benchmarks of 180 sovereign states, based on the analysis of 172 risk and sustainability performance indicators",Elevée,Elevée,Abonnement,0,1,,,Transition / RSE,N,,,,N,,N,,,par mail,,"01 55 82 32 40
contact@vigeo-eiris.com",,,"Par telephone: repondeur
Par mail: en attente du retour
par mail à etienne.thomas@vigeo-eiris.com (en belgique)==> en atente du retour
par mail à hasan.cerhozi@vigeo-eiris.com (france)
par linkedin à Léo Lebreton ESG Data Analyst chez Vigeo Eiris
23/04:Par Linkedin à Richard Porte 'Head of ESG and Climate Sales, Moody’s ESG Solutions'==> en attente de retour",,Romain Berrou,Ahlam El Fatmi,Fini,N,Pas de retour,,,N,N,N,,,,,,,,,,,Data,O,O,O,,,,monde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
37.17%,216,,Weather Source,"The Weather Source mission is to make hyper-local weather and climate data accessible around the globe and across industries—including media.
 
 Our data and geospatial products can help reporters discover new insights, conduct analysis, and create visualizations for any weather or climate related topic. 
 
 Additionally, our leading meteorological and climatological experts have more than 75 years of combined industry experience and are available to provide interviews and commentary.",https://weathersource.com,1,US,,,2015,,11-50 employés,Privé,Tech,,,40 tables,Basse,A définir,Abonnement,0,,,,TBD,N,,,,N,,N,https://weathersource.com,"Dashboard : https://pelmorex.maps.arcgis.com/apps/opsdashboard/index.html#/342d8336d77e4c379b98273abdd8823b

Sample data : https://app.salesforceiq.com/r?target=60808d8a38efeb143e80dd8a&t=AFwhZf2iieYdB3BW8kSTeJnzthVlaideamHjo8BI5slBw0c07J75azhau_PWEMMF8GRjA5oCTmj8x--M7TuqUQ-8MYLPVc1MP_wmkWeda8AEzqzSP3UhQdpOAfnZfGSlxpd1jlsdsYa3&url=https%3A%2F%2Fsales.weathersource.com%2Ft%2F103424%2Fc%2Fa2b70b0c-15ca-44c3-9acb-10ad4667a080%2FNB2HI4DTHIXS6YLQOAXHGYLMMVZWM33SMNSWS4JOMNXW2L3SH52GC4THMV2D2NRQG44WIMBRGNSGMYJUGBQTAYLCGA4TQYZQMZSSM5B5IFDHO2C2MYZTGODVMNNFUV2EMYZVA3KIGV3WQMKOKR4GWX2FK5CHG5SRJVYS2TDXNY3WKTLIGNPXC5CFJVVESNDMGB2WE3RWI5PWGTSRNZDS2LLGNNGVATKWM5XUK3LGGVKVK43DIRNFKU2IGIYFS5DVIREG653DJ52HO5KZLAYHO427MM4WKY2FJNDDCU3FJNFXESSPNJIWM3CKPI3HCMDKORKGYVDSEZ2XE3B5NB2HI4DTEUZUCJJSIYSTERTTMFWGK4ZOO5SWC5DIMVZHG33VOJRWKLTDN5WSKMSGOQSTERRRGAZTIMRUEUZEMYZFGJDGGNJRMM4WGOBTFU2DOYTCFU2GGOBSFVQTSNBQFU4TEODEMM3TIMLCMY4TSJJSIZHEEMSIJE2EIVCIJFMFGNSZJRIU6QKYJBDVSTCNJVLFUV2NGMZVGTKOKNLVGNCKJ5GU4WCXGJGDGU2IGUZEOQZUKREE2VRSIQZE4USRI5MVUVCPLJFFMSCCKJKE2TK2KFDUSM2EI5MVUUSHLE2EIQK2KJKE2RKZINGTKQRVJFDEISCPGJBTETKZLJDE2VKLJ5EVURCFJNNDEWSOIJBFKNCVGNEEWURVI4ZFGMSSJ42UOVKTKMZFCUCCGRLFGVSEGJEEERCXJFITEVSHJJBEOMSOLJME4VRVJBGVOSSOI5MVSRCBLAZUET2GJZCVKM2EJRGEURKEINKFUUSHJZDFMTKZJNIUWQSEIZHVIWSOJJHEIRKDKFJVUSKWLBCESM2EIJFUKWSIINGUISCOLJCEOSKNINDEWNBUI5MVUWSRJRCTEWCBGJFVGRZVKJKEWVBSJRFESM2HLE2VUVKJGQZFKSKXJREVASRSKZFTKTCWJ5HE2V2LK5BVASSSJFKVKVKDKJFFMM2UIFJDGT2FLIZFQRJTII2U4QRSJBETIRCUIVKVUVKDJJFFGSKZKNKEKUSUKRGUMV2HJM2FUT2PGVJVOQZVIREU2VS2JBDTGM2WJ5FFEV2LJRKEITRVK5JUWTKTI5HVCU2UIVJFEUSHIFNFISKNKJKUKVK2IVGVSWSGI5FEIRCFJVJFETKKKJLUSTSUIRDFKNCUJFMTGRKGKUZEIU2NJJIUMVJUIRBU4VCFIZLFIRCTJZBFGR2NGJKEGTKCKFEEEUSEIFFEUU2JLJEEKRKNKNEUURJSIVEVMQ2JJJDE2RSHJZJTESKSIRCTMV2TKRFTKTKUI5GTEUSKKZGEMVKRLJKUOVK2KVGVIS2HI5FEIVSDK5JU2S2OJBKTIV2DLFFE2MSGJFJEGTSLKZGUKT2SLJKEOTSIIVGU4QSGI5HEGQ2LJUZEKRKVLJKUSSSKKREVCU2UI5JEERSHJZBUGS2NKNDU2USTLBGVUTCNJY2VSR2LGRJE4TZVKNLUGNKEJFGVMWSII4ZTGVSPJJJFOS2MJRCE4NKXKESTGRBFGNCCKM2EEUZUIJJSIZQXA4BNONQWYZLTMZXXEY3FNFYS2Y3PNUWXE%3D%3D%3D%2Fapp-salesforceiq-com-r",Email,,"michael.fix@weathersource.com (Director of Sales) - mobile (617) 877-7845
craig.stelmach@weathersource.com (VP)",,,"15/04/2021 : email envoyé
19/04/2021 : présentation avec Romain",,Romain Berrou,Antoine Ngo,Fini,O,Documentation + Dictionnaire de données envoyé,,,N,N,N,JSON et JSONP,O,N,O,N,N,,,,,Data,,,,,,,Monde,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
